filter_sz,type,wt_type,time_taken
1,0,0,0.157122
1,1,0,0.735584
2,0,0,0.126820
2,1,0,1.745527
3,0,0,0.146675
3,1,0,3.370434
4,0,0,0.168637
4,1,0,5.668982
5,0,0,0.184027
5,1,0,8.187810
6,0,0,0.199848
6,1,0,11.892089
7,0,0,0.218206
7,1,0,15.589406
8,0,0,0.231279
8,1,0,20.942121
9,0,0,0.248491
9,1,0,25.750567
10,0,0,0.265126
10,1,0,31.131735
