scale,type,wt_type,time_taken
1.000000,0,0,0.147794
1.000000,1,0,3.362002
0.500000,0,0,0.055590
0.500000,1,0,0.837647
0.250000,0,0,0.015527
0.250000,1,0,0.202432
0.125000,0,0,0.003794
0.125000,1,0,0.048454
0.062500,0,0,0.001333
0.062500,1,0,0.009919
